queryIndex	queryItem	stringId	preferredName	annotation
49	G3PAZ5	69293.ENSGACP00000014769	ENSGACG00000011169	Drebrin-like b
50	G3PCE2	69293.ENSGACP00000015266	ENSGACG00000011546	Annexin A1a
51	G3PDH7	69293.ENSGACP00000015651	ENSGACG00000011819	Collagen, type XII, alpha 1b
53	G3PFN1	69293.ENSGACP00000016405	ENSGACG00000012379	Proteasome (prosome, macropain) 26S subunit, ATPase, 4; Belongs to the AAA ATPase family
54	G3PHA5	69293.ENSGACP00000016980	ENSGACG00000012793	Uncharacterized protein; Eukaryotic translation elongation factor 2a, tandem duplicate 2
56	G3PI27	69293.ENSGACP00000017262	ENSGACG00000013055	annotation not available
57	G3PIF1	69293.ENSGACP00000017379	ACTN4	Actinin, alpha 4
59	G3PIZ9	69293.ENSGACP00000017578	ENSGACG00000013294	annotation not available
60	G3PJ10	69293.ENSGACP00000017589	ENSGACG00000013304	Ribosomal protein L22
61	G3PJ29	69293.ENSGACP00000017608	ENSGACG00000013298	Rho GDP dissociation inhibitor (GDI) alpha
62	G3PJV6	69293.ENSGACP00000017886	HSP90AB1	Heat shock protein 90kDa alpha (cytosolic), class B member 1
63	G3PLE8	69293.ENSGACP00000018429	ATP5B	ATP synthase subunit beta; Produces ATP from ADP in the presence of a proton gradient across the membrane
64	G3PP62	69293.ENSGACP00000019395	ENSGACG00000014689	Uncharacterized protein; Keratin, type 1, gene 19d; Belongs to the intermediate filament family
65	G3PP78	69293.ENSGACP00000019411	CCT2	Chaperonin containing TCP1 subunit 2; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
66	G3PPW2	69293.ENSGACP00000019647	ENSGACG00000014884	Uncharacterized protein; Serine/arginine-rich splicing factor 2b
67	G3PQX4	69293.ENSGACP00000020009	ENSGACG00000015169	Ribosomal protein L31
68	G3PR19	69293.ENSGACP00000020054	ENSGACG00000015206	annotation not available
69	G3PUE2	69293.ENSGACP00000021229	ENSGACG00000016089	Ribosomal protein L28
70	G3PVK4	69293.ENSGACP00000021643	ENSGACG00000016368	Talin 2a
71	G3PWE5	69293.ENSGACP00000021934	ENSGACG00000016600	Pyruvate kinase, muscle, a; Belongs to the pyruvate kinase family
76	G3PZV8	69293.ENSGACP00000023148	IDH3A	Uncharacterized protein; Isocitrate dehydrogenase 3 (NAD+) alpha
77	G3PZX4	69293.ENSGACP00000023164	ENSGACG00000017533	Small nuclear ribonucleoprotein D3 polypeptide
78	G3Q0N5	69293.ENSGACP00000023430	ENSGACG00000017708	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4; Belongs to the mitochondrial carrier (TC 2.A.29) family
79	G3Q162	69293.ENSGACP00000023610	ENSGACG00000017868	Macrophage migration inhibitory factor
80	G3Q289	69293.ENSGACP00000023988	ENSGACG00000018150	Gelsolin a
81	G3Q2Y3	69293.ENSGACP00000024232	ENSGACG00000018328	Junction plakoglobin a
82	G3Q393	69293.ENSGACP00000024345	ENSGACG00000018404	Spectrin alpha 2
83	G3Q3X8	69293.ENSGACP00000024582	ENSGACG00000018584	Talin 1
84	G3Q4Z0	69293.ENSGACP00000024944	ENSGACG00000018863	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
85	G3Q5J2	69293.ENSGACP00000025148	ENSGACG00000019023	Actinin alpha 3a
87	G3Q6T4	69293.ENSGACP00000025594	ENSGACG00000019365	Sex hormone binding globulin
91	G3Q932	69293.ENSGACP00000026396	ENSGACG00000019944	Calpain 2, (m/II) large subunit b; Belongs to the peptidase C2 family
94	G3Q9L4	69293.ENSGACP00000026579	ENSGACG00000020117	Si:dkey-4p15.3; Heat shock protein 8; Belongs to the heat shock protein 70 family
95	G3QA72	69293.ENSGACP00000026788	ENSGACG00000020272	Stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)
98	G3QBL0	69293.ENSGACP00000027276	ENSGACG00000020621	Serine/arginine-rich splicing factor 1b
99	G3QBP3	69293.ENSGACP00000027309	ENSGACG00000020647	Acetyltransferase component of pyruvate dehydrogenase complex; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
100	G3QBU5	69293.ENSGACP00000027361	SLC25A5	Solute carrier family 25 alpha, member 5; Belongs to the mitochondrial carrier (TC 2.A.29) family
