node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
G3N640	G3NHE9	69293.ENSGACP00000000764	69293.ENSGACP00000004757	0	0	0	0	0.991	0.892	0.621	0.456	0.999
G3N640	G3NRK0	69293.ENSGACP00000000764	69293.ENSGACP00000007967	0	0	0	0	0.991	0.892	0.621	0.539	0.999
G3N6B5	G3N952	69293.ENSGACP00000000840	69293.ENSGACP00000001840	0	0	0	0	0	0	0	0.427	0.426
G3N6H3	G3NJR4	69293.ENSGACP00000000898	69293.ENSGACP00000005576	0	0	0	0	0.181	0.188	0.137	0.089	0.407
G3N6H3	G3P0D8	69293.ENSGACP00000000898	69293.ENSGACP00000011061	0	0	0	0	0.181	0.188	0.137	0.089	0.407
G3N6H3	G3NK83	69293.ENSGACP00000000898	69293.ENSGACP00000005745	0	0	0	0	0	0.166	0	0.345	0.430
G3N952	G3NDY7	69293.ENSGACP00000001840	69293.ENSGACP00000003538	0	0	0	0	0.528	0	0	0.053	0.533
G3N952	G3NHE9	69293.ENSGACP00000001840	69293.ENSGACP00000004757	0	0	0	0	0.567	0	0	0.045	0.568
G3N952	G3PQX4	69293.ENSGACP00000001840	69293.ENSGACP00000020009	0	0	0	0	0.579	0	0	0.091	0.600
G3N952	G3NIG2	69293.ENSGACP00000001840	69293.ENSGACP00000005122	0	0	0	0	0.595	0	0	0.090	0.615
G3N952	G3QCM9	69293.ENSGACP00000001840	69293.ENSGACP00000027645	0	0	0	0	0.486	0	0	0.315	0.632
G3N952	G3NRK0	69293.ENSGACP00000001840	69293.ENSGACP00000007967	0	0	0	0	0.594	0	0	0.271	0.691
G3N952	G3NBG2	69293.ENSGACP00000001840	69293.ENSGACP00000002659	0	0	0	0	0.611	0	0	0.243	0.692
G3N952	G3NBX6	69293.ENSGACP00000001840	69293.ENSGACP00000002824	0	0	0	0	0.152	0.407	0.333	0.238	0.710
G3N952	G3PUE2	69293.ENSGACP00000001840	69293.ENSGACP00000021229	0	0	0	0	0.525	0	0	0.464	0.734
G3NB07	G3NYX9	69293.ENSGACP00000002503	69293.ENSGACP00000010550	0	0	0	0	0.092	0.178	0.156	0.384	0.560
G3NB07	G3NDS5	69293.ENSGACP00000002503	69293.ENSGACP00000003475	0	0	0	0	0.130	0.371	0	0.284	0.573
G3NB21	G3NL81	69293.ENSGACP00000002517	69293.ENSGACP00000006094	0	0	0	0	0.473	0	0	0.152	0.533
G3NB21	G3NYB9	69293.ENSGACP00000002517	69293.ENSGACP00000010339	0	0	0	0	0.513	0	0	0.153	0.569
G3NB21	G3P594	69293.ENSGACP00000002517	69293.ENSGACP00000012767	0	0	0	0	0.334	0	0.281	0.229	0.598
G3NB21	G3P1C3	69293.ENSGACP00000002517	69293.ENSGACP00000011396	0	0	0	0	0.688	0	0	0.096	0.705
G3NB21	G3P4Q3	69293.ENSGACP00000002517	69293.ENSGACP00000012576	0	0	0	0	0.691	0	0	0.111	0.713
G3NB21	G3PKP7	69293.ENSGACP00000002517	69293.ENSGACP00000018177	0	0	0	0	0.640	0	0	0.334	0.749
G3NB21	G3NW63	69293.ENSGACP00000002517	69293.ENSGACP00000009582	0	0	0	0	0.690	0	0	0.235	0.752
G3NB21	G3NXQ8	69293.ENSGACP00000002517	69293.ENSGACP00000010128	0	0	0	0	0.691	0	0	0.441	0.819
G3NB21	G3P8F3	69293.ENSGACP00000002517	69293.ENSGACP00000013877	0	0	0	0	0.569	0.610	0.296	0.433	0.923
G3NBG2	G3Q297	69293.ENSGACP00000002659	69293.ENSGACP00000023996	0	0	0	0	0.045	0	0.413	0	0.415
G3NBG2	G3NBX6	69293.ENSGACP00000002659	69293.ENSGACP00000002824	0	0	0.248	0	0.593	0.726	0.264	0.290	0.948
G3NBG2	G3PJ10	69293.ENSGACP00000002659	69293.ENSGACP00000017589	0	0	0	0	0.754	0.870	0.507	0.167	0.985
G3NBG2	G3NDY7	69293.ENSGACP00000002659	69293.ENSGACP00000003538	0.201	0	0	0	0.962	0.892	0.621	0.464	0.999
G3NBG2	G3PQX4	69293.ENSGACP00000002659	69293.ENSGACP00000020009	0	0	0	0	0.986	0.892	0.621	0.469	0.999
G3NBG2	G3PUE2	69293.ENSGACP00000002659	69293.ENSGACP00000021229	0	0	0	0	0.992	0.883	0.621	0.658	0.999
G3NBG2	G3QCM9	69293.ENSGACP00000002659	69293.ENSGACP00000027645	0.186	0	0.371	0	0.992	0.892	0.621	0.696	0.999
G3NBG2	G3NIG2	69293.ENSGACP00000002659	69293.ENSGACP00000005122	0.186	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NBG2	G3NHE9	69293.ENSGACP00000002659	69293.ENSGACP00000004757	0	0	0	0	0.991	0.892	0.621	0.752	0.999
G3NBG2	G3NRK0	69293.ENSGACP00000002659	69293.ENSGACP00000007967	0.177	0	0	0	0.992	0.892	0.621	0.648	0.999
G3NBX6	G3P8K6	69293.ENSGACP00000002824	69293.ENSGACP00000013930	0	0.004	0	0	0.184	0.144	0.118	0.145	0.402
G3NBX6	G3PUE2	69293.ENSGACP00000002824	69293.ENSGACP00000021229	0	0	0	0	0.335	0.340	0.264	0	0.648
G3NBX6	G3NHE9	69293.ENSGACP00000002824	69293.ENSGACP00000004757	0.107	0	0	0	0.462	0.352	0.264	0.087	0.752
G3NBX6	G3QCM9	69293.ENSGACP00000002824	69293.ENSGACP00000027645	0	0	0.323	0	0.450	0.342	0.264	0	0.795
G3NBX6	G3PQX4	69293.ENSGACP00000002824	69293.ENSGACP00000020009	0	0	0	0	0.309	0.726	0.264	0	0.848
G3NBX6	G3NRK0	69293.ENSGACP00000002824	69293.ENSGACP00000007967	0	0	0.205	0	0.690	0.463	0.264	0.062	0.891
G3NBX6	G3NDY7	69293.ENSGACP00000002824	69293.ENSGACP00000003538	0	0	0	0	0.398	0.726	0.264	0.318	0.906
G3NBX6	G3NIG2	69293.ENSGACP00000002824	69293.ENSGACP00000005122	0.091	0	0.208	0	0.448	0.726	0.264	0.166	0.917
G3NDS5	G3NYX9	69293.ENSGACP00000003475	69293.ENSGACP00000010550	0	0	0	0	0.055	0.349	0	0.316	0.542
G3NDS5	G3Q6S8	69293.ENSGACP00000003475	69293.ENSGACP00000025588	0	0	0	0	0.142	0	0.506	0	0.558
G3NDS5	G3PAZ5	69293.ENSGACP00000003475	69293.ENSGACP00000014769	0	0	0	0	0.130	0.371	0	0.284	0.573
G3NDS5	G3NS10	69293.ENSGACP00000003475	69293.ENSGACP00000008127	0	0	0	0	0.108	0.380	0.158	0.195	0.574
G3NDY7	G3PJ10	69293.ENSGACP00000003538	69293.ENSGACP00000017589	0	0	0	0	0.692	0.870	0.508	0.441	0.987
G3NDY7	G3NRK0	69293.ENSGACP00000003538	69293.ENSGACP00000007967	0	0	0	0	0.962	0.892	0.621	0.097	0.998
G3NDY7	G3PQX4	69293.ENSGACP00000003538	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.760	0.999
G3NDY7	G3PUE2	69293.ENSGACP00000003538	69293.ENSGACP00000021229	0	0	0	0	0.962	0.882	0.621	0.644	0.999
G3NDY7	G3QCM9	69293.ENSGACP00000003538	69293.ENSGACP00000027645	0	0	0	0	0.962	0.892	0.621	0.760	0.999
G3NDY7	G3NIG2	69293.ENSGACP00000003538	69293.ENSGACP00000005122	0	0	0	0	0.962	0.892	0.621	0.539	0.999
G3NDY7	G3NHE9	69293.ENSGACP00000003538	69293.ENSGACP00000004757	0	0	0	0	0.962	0.892	0.621	0.760	0.999
G3NGV7	G3PJ42	69293.ENSGACP00000004564	69293.ENSGACP00000017621	0	0	0	0	0.177	0	0.366	0	0.455
G3NGV7	G3P4B9	69293.ENSGACP00000004564	69293.ENSGACP00000012442	0	0	0	0	0.114	0	0.507	0.050	0.548
G3NGV7	G3Q616	69293.ENSGACP00000004564	69293.ENSGACP00000025322	0	0	0	0	0.054	0.333	0.378	0	0.573
G3NGV7	G3PAP2	69293.ENSGACP00000004564	69293.ENSGACP00000014666	0	0	0	0	0.211	0	0.516	0	0.601
G3NGV7	G3PZX4	69293.ENSGACP00000004564	69293.ENSGACP00000023164	0	0	0	0	0.641	0.892	0.621	0.694	0.994
G3NHE9	G3Q297	69293.ENSGACP00000004757	69293.ENSGACP00000023996	0	0	0	0	0.050	0	0.385	0.066	0.406
G3NHE9	G3P8Y4	69293.ENSGACP00000004757	69293.ENSGACP00000014058	0	0	0	0	0.462	0	0	0	0.461
G3NHE9	G3PJ10	69293.ENSGACP00000004757	69293.ENSGACP00000017589	0	0	0	0	0.810	0.870	0.505	0.542	0.993
G3NHE9	G3PQX4	69293.ENSGACP00000004757	69293.ENSGACP00000020009	0	0	0	0	0.992	0.892	0.621	0.685	0.999
G3NHE9	G3PUE2	69293.ENSGACP00000004757	69293.ENSGACP00000021229	0	0	0	0	0.991	0.883	0.621	0.694	0.999
G3NHE9	G3QCM9	69293.ENSGACP00000004757	69293.ENSGACP00000027645	0	0	0	0	0.990	0.892	0.621	0.760	0.999
G3NHE9	G3NIG2	69293.ENSGACP00000004757	69293.ENSGACP00000005122	0.201	0	0	0	0.992	0.892	0.621	0.760	0.999
G3NHE9	G3NRK0	69293.ENSGACP00000004757	69293.ENSGACP00000007967	0	0	0	0	0.991	0.892	0.621	0.655	0.999
G3NIG2	G3PR19	69293.ENSGACP00000005122	69293.ENSGACP00000020054	0	0	0	0	0.054	0.312	0.175	0	0.416
G3NIG2	G3QCC3	69293.ENSGACP00000005122	69293.ENSGACP00000027539	0	0	0	0	0.054	0.312	0.175	0	0.416
G3NIG2	G3Q297	69293.ENSGACP00000005122	69293.ENSGACP00000023996	0	0	0	0	0.050	0	0.412	0	0.417
G3NIG2	G3P4B9	69293.ENSGACP00000005122	69293.ENSGACP00000012442	0	0	0	0	0.057	0.312	0.175	0	0.418
G3NIG2	G3PJ10	69293.ENSGACP00000005122	69293.ENSGACP00000017589	0	0	0	0	0.711	0.870	0.507	0.533	0.990
G3NIG2	G3PQX4	69293.ENSGACP00000005122	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.539	0.999
G3NIG2	G3PUE2	69293.ENSGACP00000005122	69293.ENSGACP00000021229	0	0	0	0	0.992	0.887	0.621	0.564	0.999
G3NIG2	G3QCM9	69293.ENSGACP00000005122	69293.ENSGACP00000027645	0.186	0	0	0	0.991	0.892	0.621	0.725	0.999
G3NIG2	G3NRK0	69293.ENSGACP00000005122	69293.ENSGACP00000007967	0.176	0	0	0	0.962	0.892	0.621	0.737	0.999
G3NK83	G3QBE9	69293.ENSGACP00000005745	69293.ENSGACP00000027215	0	0	0	0	0.466	0.136	0	0.067	0.531
G3NK83	G3P8Y4	69293.ENSGACP00000005745	69293.ENSGACP00000014058	0	0	0	0	0.181	0.396	0	0.441	0.699
G3NL81	G3P8Y4	69293.ENSGACP00000006094	69293.ENSGACP00000014058	0	0	0	0	0.477	0	0	0	0.477
G3NL81	G3P8F3	69293.ENSGACP00000006094	69293.ENSGACP00000013877	0	0	0	0	0.211	0.421	0	0.067	0.536
G3NL81	G3P594	69293.ENSGACP00000006094	69293.ENSGACP00000012767	0	0	0	0	0.197	0.052	0.403	0.135	0.554
G3NL81	G3NYB9	69293.ENSGACP00000006094	69293.ENSGACP00000010339	0	0	0	0	0.711	0	0	0.234	0.769
G3NL81	G3NXQ8	69293.ENSGACP00000006094	69293.ENSGACP00000010128	0	0	0	0	0.846	0.142	0	0.234	0.889
G3NL81	G3P1C3	69293.ENSGACP00000006094	69293.ENSGACP00000011396	0	0	0	0	0.783	0.892	0.621	0.469	0.994
G3NL81	G3PKP7	69293.ENSGACP00000006094	69293.ENSGACP00000018177	0	0	0	0	0.792	0.889	0.622	0.613	0.996
G3NL81	G3NW63	69293.ENSGACP00000006094	69293.ENSGACP00000009582	0	0	0	0	0.830	0.892	0.621	0.715	0.997
G3NL81	G3P4Q3	69293.ENSGACP00000006094	69293.ENSGACP00000012576	0	0	0	0	0.962	0.883	0.622	0.384	0.998
G3NNI9	G3PWU7	69293.ENSGACP00000006903	69293.ENSGACP00000022086	0	0	0.446	0.817	0.054	0	0.481	0.089	0.531
G3NNI9	G3PTQ9	69293.ENSGACP00000006903	69293.ENSGACP00000020995	0	0	0.446	0.796	0.740	0.142	0.621	0.760	0.928
G3NRK0	G3PR19	69293.ENSGACP00000007967	69293.ENSGACP00000020054	0	0	0	0	0.073	0.320	0.175	0	0.434
G3NRK0	G3QCC3	69293.ENSGACP00000007967	69293.ENSGACP00000027539	0	0	0	0	0.073	0.320	0.175	0	0.434
G3NRK0	G3P4B9	69293.ENSGACP00000007967	69293.ENSGACP00000012442	0	0	0	0	0.090	0.320	0.175	0	0.444
G3NRK0	G3PJ10	69293.ENSGACP00000007967	69293.ENSGACP00000017589	0	0	0	0	0.689	0.870	0.505	0.527	0.989
G3NRK0	G3PQX4	69293.ENSGACP00000007967	69293.ENSGACP00000020009	0	0	0	0	0.962	0.892	0.621	0.269	0.998
G3NRK0	G3PUE2	69293.ENSGACP00000007967	69293.ENSGACP00000021229	0	0	0	0	0.962	0.882	0.621	0.316	0.998
G3NRK0	G3QCM9	69293.ENSGACP00000007967	69293.ENSGACP00000027645	0.186	0	0.204	0	0.962	0.892	0.621	0.735	0.999
G3NS10	G3NYX9	69293.ENSGACP00000008127	69293.ENSGACP00000010550	0	0	0	0	0.051	0.335	0.045	0.148	0.417
G3NW63	G3P8F3	69293.ENSGACP00000009582	69293.ENSGACP00000013877	0	0	0	0	0.594	0.047	0	0	0.596
G3NW63	G3NXQ8	69293.ENSGACP00000009582	69293.ENSGACP00000010128	0	0	0	0	0.816	0	0	0.383	0.881
G3NW63	G3NYB9	69293.ENSGACP00000009582	69293.ENSGACP00000010339	0	0	0	0	0.923	0	0	0.300	0.943
G3NW63	G3P594	69293.ENSGACP00000009582	69293.ENSGACP00000012767	0	0	0	0	0.475	0.833	0.403	0.288	0.957
G3NW63	G3PKP7	69293.ENSGACP00000009582	69293.ENSGACP00000018177	0	0	0	0	0.490	0.892	0.621	0.527	0.988
G3NW63	G3P1C3	69293.ENSGACP00000009582	69293.ENSGACP00000011396	0	0	0	0	0.813	0.892	0.621	0.541	0.996
G3NW63	G3P4Q3	69293.ENSGACP00000009582	69293.ENSGACP00000012576	0	0	0	0	0.990	0.892	0.621	0.669	0.999
G3NXQ8	G3P594	69293.ENSGACP00000010128	69293.ENSGACP00000012767	0	0	0	0	0.197	0.052	0	0.342	0.455
G3NXQ8	G3P1C3	69293.ENSGACP00000010128	69293.ENSGACP00000011396	0	0	0	0	0.181	0	0	0.441	0.522
G3NXQ8	G3PKP7	69293.ENSGACP00000010128	69293.ENSGACP00000018177	0	0	0	0	0.822	0.142	0	0.273	0.879
G3NXQ8	G3P4Q3	69293.ENSGACP00000010128	69293.ENSGACP00000012576	0	0	0	0	0.923	0.566	0	0.231	0.972
G3NXQ8	G3NYB9	69293.ENSGACP00000010128	69293.ENSGACP00000010339	0	0	0	0	0.989	0.892	0.621	0.531	0.999
G3NYB9	G3P594	69293.ENSGACP00000010339	69293.ENSGACP00000012767	0	0	0	0	0.330	0.052	0	0.189	0.439
G3NYB9	G3P8F3	69293.ENSGACP00000010339	69293.ENSGACP00000013877	0	0	0	0	0.485	0	0	0.062	0.496
G3NYB9	G3PKP7	69293.ENSGACP00000010339	69293.ENSGACP00000018177	0	0	0	0	0.565	0	0	0.167	0.622
G3NYB9	G3P1C3	69293.ENSGACP00000010339	69293.ENSGACP00000011396	0	0	0	0	0.682	0	0	0.234	0.745
G3NYB9	G3P4Q3	69293.ENSGACP00000010339	69293.ENSGACP00000012576	0	0	0	0	0.836	0.157	0	0.490	0.923
G3NYX9	G3PAZ5	69293.ENSGACP00000010550	69293.ENSGACP00000014769	0	0	0	0	0.092	0.178	0.333	0.384	0.652
G3P1C3	G3P8F3	69293.ENSGACP00000011396	69293.ENSGACP00000013877	0	0	0	0	0.314	0.047	0	0.249	0.466
G3P1C3	G3P594	69293.ENSGACP00000011396	69293.ENSGACP00000012767	0	0	0	0	0.182	0.052	0.403	0.440	0.706
G3P1C3	G3PKP7	69293.ENSGACP00000011396	69293.ENSGACP00000018177	0	0	0	0	0.484	0.891	0.621	0.271	0.982
G3P1C3	G3P4Q3	69293.ENSGACP00000011396	69293.ENSGACP00000012576	0	0	0	0	0.768	0.886	0.621	0.397	0.993
G3P4B9	G3QCM9	69293.ENSGACP00000012442	69293.ENSGACP00000027645	0	0	0	0	0.054	0.331	0.175	0	0.432
G3P4B9	G3QCC3	69293.ENSGACP00000012442	69293.ENSGACP00000027539	0	0	0.431	0.781	0.118	0.362	0	0.113	0.474
G3P4B9	G3Q616	69293.ENSGACP00000012442	69293.ENSGACP00000025322	0	0	0	0	0.118	0.219	0.340	0.223	0.599
G3P4B9	G3PJ42	69293.ENSGACP00000012442	69293.ENSGACP00000017621	0	0	0.306	0	0.183	0.260	0.227	0.113	0.659
G3P4B9	G3PZX4	69293.ENSGACP00000012442	69293.ENSGACP00000023164	0	0	0	0	0.166	0.345	0.510	0.203	0.758
G3P4B9	G3PAP2	69293.ENSGACP00000012442	69293.ENSGACP00000014666	0	0	0	0	0.211	0.324	0.379	0.501	0.812
G3P4Q3	G3P8F3	69293.ENSGACP00000012576	69293.ENSGACP00000013877	0	0	0	0	0.562	0	0	0.073	0.576
G3P4Q3	G3P594	69293.ENSGACP00000012576	69293.ENSGACP00000012767	0	0	0	0	0.313	0.052	0.403	0.193	0.644
G3P4Q3	G3PKP7	69293.ENSGACP00000012576	69293.ENSGACP00000018177	0	0	0	0	0.811	0.891	0.622	0.455	0.995
G3P594	G3PKP7	69293.ENSGACP00000012767	69293.ENSGACP00000018177	0	0	0	0	0.120	0.052	0.403	0.222	0.560
G3P8K6	G3PZX4	69293.ENSGACP00000013930	69293.ENSGACP00000023164	0	0	0	0	0.054	0	0.346	0.130	0.414
G3P8K6	G3QA18	69293.ENSGACP00000013930	69293.ENSGACP00000026734	0	0	0	0	0.061	0.144	0.347	0.301	0.584
G3P8K6	G3QA72	69293.ENSGACP00000013930	69293.ENSGACP00000026788	0	0	0	0	0.228	0.418	0.346	0.357	0.785
G3PAP2	G3PR19	69293.ENSGACP00000014666	69293.ENSGACP00000020054	0	0	0	0.660	0.054	0.324	0.129	0.127	0.412
G3PAP2	G3QCM9	69293.ENSGACP00000014666	69293.ENSGACP00000027645	0	0	0	0	0.054	0.080	0.047	0.394	0.430
G3PAP2	G3Q616	69293.ENSGACP00000014666	69293.ENSGACP00000025322	0	0	0	0	0.058	0.184	0.344	0.080	0.474
G3PAP2	G3QCC3	69293.ENSGACP00000014666	69293.ENSGACP00000027539	0	0	0	0	0.147	0.324	0.129	0.127	0.502
G3PAP2	G3PZX4	69293.ENSGACP00000014666	69293.ENSGACP00000023164	0	0	0	0	0.554	0.304	0.520	0.134	0.853
G3PAP2	G3PJ42	69293.ENSGACP00000014666	69293.ENSGACP00000017621	0	0	0	0	0.596	0.604	0.315	0.135	0.892
G3PJ10	G3PUE2	69293.ENSGACP00000017589	69293.ENSGACP00000021229	0	0	0	0	0.692	0.726	0.507	0.244	0.964
G3PJ10	G3PQX4	69293.ENSGACP00000017589	69293.ENSGACP00000020009	0	0	0	0	0.740	0.870	0.508	0.509	0.990
G3PJ10	G3QCM9	69293.ENSGACP00000017589	69293.ENSGACP00000027645	0	0	0	0	0.691	0.870	0.507	0.651	0.992
G3PJ29	G3PPX6	69293.ENSGACP00000017608	69293.ENSGACP00000019661	0	0	0	0	0.045	0.160	0	0.316	0.403
G3PJ29	G3Q6S8	69293.ENSGACP00000017608	69293.ENSGACP00000025588	0	0	0	0	0.095	0.136	0.380	0.439	0.691
G3PJ42	G3Q616	69293.ENSGACP00000017621	69293.ENSGACP00000025322	0	0	0	0	0.095	0.312	0.204	0.127	0.509
G3PJ42	G3PZX4	69293.ENSGACP00000017621	69293.ENSGACP00000023164	0	0	0	0	0.338	0.168	0.366	0.131	0.655
G3PJ42	G3QCC3	69293.ENSGACP00000017621	69293.ENSGACP00000027539	0	0	0.344	0	0.532	0.260	0.086	0.090	0.776
G3PQX4	G3PUE2	69293.ENSGACP00000020009	69293.ENSGACP00000021229	0	0	0	0	0.990	0.882	0.621	0.694	0.999
G3PQX4	G3QCM9	69293.ENSGACP00000020009	69293.ENSGACP00000027645	0	0	0	0	0.990	0.892	0.621	0.737	0.999
G3PR19	G3QCM9	69293.ENSGACP00000020054	69293.ENSGACP00000027645	0	0	0	0	0.054	0.331	0.175	0	0.432
G3PR19	G3PZX4	69293.ENSGACP00000020054	69293.ENSGACP00000023164	0	0	0	0	0.055	0.345	0.175	0.232	0.555
G3PTQ9	G3PWU7	69293.ENSGACP00000020995	69293.ENSGACP00000022086	0	0	0.448	0.967	0	0	0.481	0.463	0.495
G3PUE2	G3QCM9	69293.ENSGACP00000021229	69293.ENSGACP00000027645	0	0	0	0	0.962	0.882	0.621	0.561	0.999
G3PXB8	G3QCC3	69293.ENSGACP00000022257	69293.ENSGACP00000027539	0	0	0	0.567	0.436	0.187	0	0.062	0.526
G3PXB8	G3PZ70	69293.ENSGACP00000022257	69293.ENSGACP00000022910	0	0	0	0.958	0.054	0.707	0	0.648	0.718
G3PZX4	G3Q616	69293.ENSGACP00000023164	69293.ENSGACP00000025322	0	0	0	0	0.054	0.244	0.379	0.091	0.542
G3PZX4	G3QCC3	69293.ENSGACP00000023164	69293.ENSGACP00000027539	0	0	0	0	0.218	0.345	0.175	0.120	0.578
G3QCC3	G3QCM9	69293.ENSGACP00000027539	69293.ENSGACP00000027645	0	0	0	0	0.054	0.331	0.175	0	0.432
